1,嘉洲商务中心（A007-0559）3栋商务公寓,A座2410,A007-0559,商务公寓,87.82,--,--,已网签
2,桑泰龙樾府3栋,B座406,G09202-0027,住宅,69.09,--,--,已网签
3,桑泰龙樾府3栋,A座702,G09202-0027,住宅,68.31,--,--,已转移登记
4,桑泰龙樾府3栋,B座502,G09202-0027,住宅,69.09,--,--,已网签
5,桑泰龙樾府3栋,A座1506,G09202-0027,住宅,88.50,--,--,已网签
6,Z悦轩,B座1902,A627-0262,商务公寓,38.40,--,--,已网签
7,Z悦轩,B座2412,A627-0262,商务公寓,38.40,--,--,已网签
8,里城玺樾山花园9号楼,3105,G06105-0255,住宅,79.83,55046.79,4394385,未售
9,里城玺樾山花园9号楼,3201,G06105-0255,住宅,93.80,54422.59,5104839,未售
10,里城玺樾山花园9号楼,3202,G06105-0255,住宅,79.83,56164.52,4483614,未售
11,里城玺樾山花园9号楼,3204,G06105-0255,住宅,91.89,54746.78,5030682,未售
12,里城玺樾山花园9号楼,3205,G06105-0255,住宅,79.83,55046.79,4394385,未售
13,里城玺樾山花园9号楼,2101,G06105-0255,住宅,93.80,53922.59,5057939,未售
14,里城玺樾山花园9号楼,2102,G06105-0255,住宅,79.83,55664.52,4443699,未售
15,里城玺樾山花园9号楼,2201,G06105-0255,住宅,93.80,53972.59,5062629,未售
16,里城玺樾山花园9号楼,2202,G06105-0255,住宅,79.83,55714.53,4447691,未售
17,里城玺樾山花园9号楼,2203,G06105-0255,住宅,91.89,54496.79,5007710,未售
18,里城玺樾山花园9号楼,2204,G06105-0255,住宅,91.89,54296.79,4989332,未售
19,里城玺樾山花园9号楼,2205,G06105-0255,住宅,79.83,54596.79,4358462,未售
20,里城玺樾山花园9号楼,2206,G06105-0255,住宅,93.80,53472.59,5015729,未售
21,里城玺樾山花园9号楼,2301,G06105-0255,住宅,93.80,54022.59,5067319,未售
22,里城玺樾山花园9号楼,2302,G06105-0255,住宅,79.83,55764.52,4451682,未售
23,里城玺樾山花园9号楼,2303,G06105-0255,住宅,91.89,54546.78,5012304,未售
24,里城玺樾山花园9号楼,2304,G06105-0255,住宅,91.89,54346.78,4993926,未售
25,里城玺樾山花园9号楼,2305,G06105-0255,住宅,79.83,54646.79,4362453,未售
26,里城玺樾山花园9号楼,2306,G06105-0255,住宅,93.80,53522.59,5020419,未售
27,里城玺樾山花园9号楼,2401,G06105-0255,住宅,93.80,54072.59,5072009,未售
28,里城玺樾山花园9号楼,2402,G06105-0255,住宅,79.83,55814.53,4455674,未售
29,里城玺樾山花园9号楼,2403,G06105-0255,住宅,91.89,54596.79,5016899,未售
30,里城玺樾山花园9号楼,2404,G06105-0255,住宅,91.89,54396.79,4998521,未售
31,里城玺樾山花园9号楼,2405,G06105-0255,住宅,79.83,54696.79,4366445,未售
32,里城玺樾山花园9号楼,2406,G06105-0255,住宅,93.80,53572.59,5025109,未售
33,里城玺樾山花园9号楼,2501,G06105-0255,住宅,93.80,54122.59,5076699,未售
34,里城玺樾山花园9号楼,2502,G06105-0255,住宅,79.83,55864.52,4459665,未售
35,里城玺樾山花园9号楼,2503,G06105-0255,住宅,91.89,54646.78,5021493,未售
36,里城玺樾山花园9号楼,2504,G06105-0255,住宅,91.89,54446.78,5003115,未售
37,里城玺樾山花园9号楼,2505,G06105-0255,住宅,79.83,54746.79,4370436,未售
38,里城玺樾山花园9号楼,2506,G06105-0255,住宅,93.80,53622.59,5029799,未售
39,里城玺樾山花园9号楼,2601,G06105-0255,住宅,93.80,54172.59,5081389,未售
40,里城玺樾山花园9号楼,2602,G06105-0255,住宅,79.83,55914.53,4463657,未售
41,里城玺樾山花园9号楼,2603,G06105-0255,住宅,91.89,54696.79,5026088,未售
42,里城玺樾山花园9号楼,2604,G06105-0255,住宅,91.89,54496.79,5007710,未售
43,里城玺樾山花园9号楼,2605,G06105-0255,住宅,79.83,54796.79,4374428,未售
44,里城玺樾山花园9号楼,2606,G06105-0255,住宅,93.80,53672.59,5034489,未售
45,里城玺樾山花园9号楼,2701,G06105-0255,住宅,93.80,54222.59,5086079,未售
46,里城玺樾山花园9号楼,2702,G06105-0255,住宅,79.83,55964.52,4467648,未售
47,里城玺樾山花园9号楼,2703,G06105-0255,住宅,91.89,54746.78,5030682,未售
48,里城玺樾山花园9号楼,2704,G06105-0255,住宅,91.89,54546.78,5012304,未售
49,里城玺樾山花园9号楼,2705,G06105-0255,住宅,79.83,54846.79,4378419,未售
50,里城玺樾山花园9号楼,2706,G06105-0255,住宅,93.80,53722.59,5039179,未售
51,里城玺樾山花园9号楼,2801,G06105-0255,住宅,93.80,54272.59,5090769,未售
52,里城玺樾山花园9号楼,2802,G06105-0255,住宅,79.83,56014.53,4471640,未售
53,里城玺樾山花园9号楼,2803,G06105-0255,住宅,91.89,54796.79,5035277,未售
54,里城玺樾山花园9号楼,2804,G06105-0255,住宅,91.89,54596.79,5016899,未售
55,里城玺樾山花园9号楼,2805,G06105-0255,住宅,79.83,54896.79,4382411,未售
56,里城玺樾山花园9号楼,2806,G06105-0255,住宅,93.80,53772.59,5043869,未售
57,里城玺樾山花园9号楼,2901,G06105-0255,住宅,93.80,54322.59,5095459,未售
58,里城玺樾山花园9号楼,2902,G06105-0255,住宅,79.83,56064.52,4475631,未售
59,里城玺樾山花园9号楼,2903,G06105-0255,住宅,91.89,54846.78,5039871,未售
60,里城玺樾山花园9号楼,2904,G06105-0255,住宅,91.89,54646.78,5021493,未售
61,里城玺樾山花园9号楼,2905,G06105-0255,住宅,79.83,54946.79,4386402,未售
62,里城玺樾山花园9号楼,2906,G06105-0255,住宅,93.80,53822.59,5048559,未售
63,里城玺樾山花园9号楼,3001,G06105-0255,住宅,93.80,54372.59,5100149,未售
64,里城玺樾山花园9号楼,3002,G06105-0255,住宅,79.83,56114.53,4479623,未售
65,里城玺樾山花园9号楼,3003,G06105-0255,住宅,91.89,54896.79,5044466,未售
66,里城玺樾山花园9号楼,3004,G06105-0255,住宅,91.89,54696.79,5026088,未售
67,里城玺樾山花园9号楼,3005,G06105-0255,住宅,79.83,54996.79,4390394,未售
68,里城玺樾山花园9号楼,3006,G06105-0255,住宅,93.80,53872.59,5053249,未售
69,里城玺樾山花园9号楼,3101,G06105-0255,住宅,93.80,54422.59,5104839,未售
70,里城玺樾山花园9号楼,3102,G06105-0255,住宅,79.83,56164.52,4483614,未售
71,里城玺樾山花园9号楼,3103,G06105-0255,住宅,91.89,54946.78,5049060,未售
72,里城玺樾山花园9号楼,3104,G06105-0255,住宅,91.89,54746.78,5030682,未售
73,里城玺樾山花园9号楼,3106,G06105-0255,住宅,93.80,53922.59,5057939,未售
74,里城玺樾山花园9号楼,3203,G06105-0255,住宅,91.89,54946.78,5049060,未售
75,里城玺樾山花园9号楼,3206,G06105-0255,住宅,93.80,53922.59,5057939,未售
76,佳兆业未来花园5栋,C座205,G01049-0102,住宅,89.26,--,--,已网签
77,佳兆业未来花园5栋,B座305,G01049-0102,住宅,120.04,--,--,已转移登记
78,今日香沙御景园3栋,A座1013,G10301-0227,商务公寓,56.67,--,--,已转移登记
79,深业泰富广场,D座709,H301-0050（1）,商务公寓,59.17,62531.99,3700018,未售
80,深业泰富广场,D座1010,H301-0050（1）,商务公寓,62.56,--,--,已网签
81,深业泰富广场,D座1711,H301-0050（1）,商务公寓,84.99,--,--,已转移登记
82,汇德大厦一期,3座507,A811-0318,商务公寓,51.16,61000,3120760,未售
83,汇德大厦一期,3座508,A811-0318,商务公寓,32.96,61000,2010560,未售
84,汇德大厦一期,3座509,A811-0318,商务公寓,32.11,61000,1958710,未售
85,汇德大厦一期,3座511,A811-0318,商务公寓,32.96,61000,2010560,未售
86,汇德大厦一期,3座513,A811-0318,商务公寓,32.96,61000,2010560,未售
87,汇德大厦一期,3座515,A811-0318,商务公寓,32.96,61000,2010560,未售
88,汇德大厦一期,3座517,A811-0318,商务公寓,32.96,61000,2010560,未售
89,中航华府花园,4号楼3202,G06105-0256,住宅,80.49,--,--,已转移登记
90,碧桂园观麓花园01-01地块1栋,B座310,G02114-0056,商务公寓,48.60,--,--,已网签
91,柏宁花园1栋,40D,T107-0069,住宅,322.51,--,--,已转移登记
92,桑泰龙樾府3栋,A座603,G09202-0027,住宅,68.31,--,--,已转移登记
93,桑泰龙樾府3栋,B座1904,G09202-0027,住宅,69.09,--,--,已转移登记
94,中洲滨海华府一期,A座10A,B108-0060(1),住宅,164.91,85470.13,14094879,未售
95,中洲滨海华府一期,A座11A,B108-0060(1),住宅,164.91,86070.13,14193825,未售
96,中洲滨海华府一期,A座12A,B108-0060(1),住宅,164.91,86220.13,14218562,未售
97,中洲滨海华府一期,A座13A,B108-0060(1),住宅,164.91,86370.13,14243298,未售
98,中洲滨海华府一期,A座14A,B108-0060(1),住宅,164.91,86520.13,14268035,未售
99,中洲滨海华府一期,A座17A,B108-0060(1),住宅,165.09,86970.13,14357899,未售
100,中洲滨海华府一期,A座18A,B108-0060(1),住宅,165.09,87120.13,14382662,未售
101,中洲滨海华府一期,A座19A,B108-0060(1),住宅,165.09,87270.13,14407426,未售
102,中洲滨海华府一期,A座20A,B108-0060(1),住宅,165.09,87420.13,14432189,未售
103,中洲滨海华府一期,A座21A,B108-0060(1),住宅,165.09,87570.13,14456953,未售
104,中洲滨海华府一期,A座22A,B108-0060(1),住宅,165.09,87720.13,14481716,未售
105,中洲滨海华府一期,A座23A,B108-0060(1),住宅,165.09,87870.13,14506480,未售
106,中洲滨海华府一期,A座24A,B108-0060(1),住宅,165.09,88020.13,14531243,未售
107,中洲滨海华府一期,A座25A,B108-0060(1),住宅,165.09,88170.13,14556007,未售
108,中洲滨海华府一期,A座26A,B108-0060(1),住宅,165.09,88320.13,14580770,未售
109,中洲滨海华府一期,A座27A,B108-0060(1),住宅,165.09,88470.13,14605534,未售
110,中洲滨海华府一期,A座28A,B108-0060(1),住宅,165.09,88620.13,14630297,未售
111,中洲滨海华府一期,A座29A,B108-0060(1),住宅,165.09,88770.13,14655061,未售
112,中洲滨海华府一期,A座30A,B108-0060(1),住宅,165.09,88920.13,14679824,未售
113,中洲滨海华府一期,A座31A,B108-0060(1),住宅,165.09,89070.13,14704588,未售
114,中洲滨海华府一期,A座32A,B108-0060(1),住宅,165.09,89220.13,14729351,未售
115,中洲滨海华府一期,A座34A,B108-0060(1),住宅,165.13,89620.13,14798972,未售
116,中洲滨海华府一期,A座35A,B108-0060(1),住宅,165.13,89820.13,14831998,未售
117,中洲滨海华府一期,A座36A,B108-0060(1),住宅,165.13,91020.13,15030154,未售
118,中洲滨海华府一期,A座37A,B108-0060(1),住宅,165.13,92220.13,15228310,未售
119,中洲滨海华府一期,A座38A,B108-0060(1),住宅,165.13,93420.13,15426466,未售
120,中洲滨海华府一期,A座39A,B108-0060(1),住宅,165.13,93620.13,15459492,未售
121,中洲滨海华府一期,A座40A,B108-0060(1),住宅,165.13,93820.13,15492518,未售
122,中洲滨海华府一期,A座41A,B108-0060(1),住宅,165.13,94020.13,15525544,未售
123,中洲滨海华府一期,A座42A,B108-0060(1),住宅,165.13,94220.13,15558570,未售
124,中洲滨海华府一期,A座43A,B108-0060(1),住宅,165.13,94420.13,15591596,未售
125,中洲滨海华府一期,A座44A,B108-0060(1),住宅,165.13,94620.13,15624622,未售
126,中洲滨海华府一期,A座45A,B108-0060(1),住宅,165.13,94820.13,15657648,未售
127,中洲滨海华府一期,A座46A,B108-0060(1),住宅,165.13,95020.13,15690674,未售
128,中洲滨海华府一期,A座47A,B108-0060(1),住宅,165.13,95220.13,15723700,未售
129,中洲滨海华府一期,A座48A,B108-0060(1),住宅,165.13,95420.13,15756726,未售
130,中洲滨海华府一期,A座49A,B108-0060(1),住宅,165.13,95620.13,15789752,未售
131,中洲滨海华府一期,A座4A,B108-0060(1),住宅,164.91,83870.13,13831023,未售
132,中洲滨海华府一期,A座50A,B108-0060(1),住宅,165.96,93820.13,15570389,未售
133,中洲滨海华府一期,A座5A,B108-0060(1),住宅,164.91,83970.13,13847514,未售
134,中洲滨海华府一期,A座6A,B108-0060(1),住宅,164.91,84070.13,13864005,未售
135,中洲滨海华府一期,A座7A,B108-0060(1),住宅,164.91,84170.13,13880496,未售
136,中洲滨海华府一期,A座8A,B108-0060(1),住宅,164.91,84270.13,13896987,未售
137,中洲滨海华府一期,A座9A,B108-0060(1),住宅,164.91,84870.13,13995933,未售
138,中洲滨海华府一期,C座12P,B108-0060(1),住宅,88.44,90620.13,8014444,未售
139,中洲滨海华府一期,C座12Q,B108-0060(1),住宅,127.72,91520.13,11688951,未售
140,中洲滨海华府一期,C座17P,B108-0060(1),住宅,88.62,91370.13,8097221,未售
141,中洲滨海华府一期,C座17Q,B108-0060(1),住宅,127.72,95270.13,12167901,未售
142,中洲滨海华府一期,C座18P,B108-0060(1),住宅,88.62,91520.13,8110514,未售
143,中洲滨海华府一期,C座18Q,B108-0060(1),住宅,127.72,95420.13,12187059,未售
144,中洲滨海华府一期,C座38P,B108-0060(1),住宅,88.79,99320.13,8818634,未售
145,中洲滨海华府一期,C座40P,B108-0060(1),住宅,88.79,99720.13,8854150,未售
146,中洲滨海华府一期,C座41P,B108-0060(1),住宅,88.79,99920.13,8871908,未售
147,中洲滨海华府一期,C座41Q,B108-0060(1),住宅,127.59,103820.13,13246410,未售
148,中洲滨海华府一期,C座43P,B108-0060(1),住宅,88.79,100320.13,8907424,未售
149,中洲滨海华府一期,C座43Q,B108-0060(1),住宅,127.59,104220.13,13297446,未售
150,中洲滨海华府一期,C座4N,B108-0060(1),住宅,89.58,76670.13,6868110,未售
151,中洲滨海华府一期,C座8P,B108-0060(1),住宅,88.44,85670.13,7576666,未售
152,中洲滨海华府一期,C座8Q,B108-0060(1),住宅,127.72,86570.13,11056737,未售
153,中洲滨海华府一期,C座9P,B108-0060(1),住宅,88.44,87270.13,7718170,未售
154,中洲滨海华府一期,D座10R,B108-0060(1),住宅,142.11,87770.13,12473013,未售
155,中洲滨海华府一期,D座11R,B108-0060(1),住宅,142.11,89370.13,12700389,未售
156,中洲滨海华府一期,D座12R,B108-0060(1),住宅,142.11,89520.13,12721706,未售
157,中洲滨海华府一期,D座12T,B108-0060(1),住宅,164.88,97020.13,15996679,未售
158,中洲滨海华府一期,D座13R,B108-0060(1),住宅,142.11,89670.13,12743022,未售
159,中洲滨海华府一期,D座13T,B108-0060(1),住宅,164.88,97170.13,16021411,未售
160,中洲滨海华府一期,D座14R,B108-0060(1),住宅,142.11,89820.13,12764339,未售
161,中洲滨海华府一期,D座16R,B108-0060(1),住宅,142.44,92120.13,13121591,未售
162,中洲滨海华府一期,D座16T,B108-0060(1),住宅,165.06,97620.13,16113179,未售
163,中洲滨海华府一期,D座17T,B108-0060(1),住宅,165.06,97770.13,16137938,未售
164,中洲滨海华府一期,D座18R,B108-0060(1),住宅,142.44,92420.13,13164323,未售
165,中洲滨海华府一期,D座19R,B108-0060(1),住宅,142.44,92570.13,13185689,未售
166,中洲滨海华府一期,D座19T,B108-0060(1),住宅,165.06,98070.13,16187456,未售
167,中洲滨海华府一期,D座20R,B108-0060(1),住宅,142.44,92720.13,13207055,未售
168,中洲滨海华府一期,D座23R,B108-0060(1),住宅,142.44,93170.13,13271153,未售
169,中洲滨海华府一期,D座24R,B108-0060(1),住宅,142.44,93320.13,13292519,未售
170,中洲滨海华府一期,D座24T,B108-0060(1),住宅,165.06,98820.13,16311251,未售
171,中洲滨海华府一期,D座25R,B108-0060(1),住宅,142.44,93470.13,13313885,未售
172,中洲滨海华府一期,D座26R,B108-0060(1),住宅,142.44,93620.13,13335251,未售
173,中洲滨海华府一期,D座27R,B108-0060(1),住宅,142.44,93770.13,13356617,未售
174,中洲滨海华府一期,D座28R,B108-0060(1),住宅,142.44,93920.13,13377983,未售
175,中洲滨海华府一期,D座28T,B108-0060(1),住宅,165.06,99420.13,16410287,未售
176,中洲滨海华府一期,D座29R,B108-0060(1),住宅,142.44,94070.13,13399349,未售
177,中洲滨海华府一期,D座30R,B108-0060(1),住宅,142.44,94220.13,13420715,未售
178,中洲滨海华府一期,D座31R,B108-0060(1),住宅,142.44,94370.13,13442081,未售
179,中洲滨海华府一期,D座32R,B108-0060(1),住宅,142.44,94520.13,13463447,未售
180,中洲滨海华府一期,D座32T,B108-0060(1),住宅,165.06,100020.13,16509323,未售
181,中洲滨海华府一期,D座34R,B108-0060(1),住宅,142.85,94920.13,13559341,未售
182,中洲滨海华府一期,D座34T,B108-0060(1),住宅,165.11,100420.13,16580368,未售
183,中洲滨海华府一期,D座35R,B108-0060(1),住宅,142.85,95120.13,13587911,未售
184,中洲滨海华府一期,D座35T,B108-0060(1),住宅,165.11,100620.13,16613390,未售
185,中洲滨海华府一期,D座36R,B108-0060(1),住宅,142.85,96820.13,13830756,未售
186,中洲滨海华府一期,D座36T,B108-0060(1),住宅,165.11,102320.13,16894077,未售
187,中洲滨海华府一期,D座37R,B108-0060(1),住宅,142.85,98520.13,14073601,未售
188,中洲滨海华府一期,D座38R,B108-0060(1),住宅,142.85,100220.13,14316446,未售
189,中洲滨海华府一期,D座38T,B108-0060(1),住宅,165.11,105720.13,17455451,未售
190,中洲滨海华府一期,D座39R,B108-0060(1),住宅,142.85,100420.13,14345016,未售
191,中洲滨海华府一期,D座40R,B108-0060(1),住宅,142.85,101120.13,14445011,未售
192,中洲滨海华府一期,D座40T,B108-0060(1),住宅,165.11,106120.13,17521495,未售
193,中洲滨海华府一期,D座41R,B108-0060(1),住宅,142.85,101320.13,14473581,未售
194,中洲滨海华府一期,D座41T,B108-0060(1),住宅,165.11,106320.13,17554517,未售
195,中洲滨海华府一期,D座42R,B108-0060(1),住宅,142.85,101520.13,14502151,未售
196,中洲滨海华府一期,D座42T,B108-0060(1),住宅,165.11,106520.13,17587539,未售
197,中洲滨海华府一期,D座43R,B108-0060(1),住宅,142.85,101720.13,14530721,未售
198,中洲滨海华府一期,D座43T,B108-0060(1),住宅,165.11,106720.13,17620561,未售
199,中洲滨海华府一期,D座44T,B108-0060(1),住宅,165.11,106920.13,17653583,未售
200,中洲滨海华府一期,D座45R,B108-0060(1),住宅,142.85,102120.13,14587861,未售
